Clinic Name,"Map location (latitude,longitude)",LAT,LONG,Address,City Location,Google Rating,Facebook Rating,Average Rating,Contact Information,Email Address,Services Offered,Pricing,Operating Hours,Customer Reviews Google,Customer Reviews Facebook
Toothie Dental Care Center,"14.643614987140165, 121.11085757471257",14.64361499,121.1108576,"Unit 108 Guerdon Commercial Center, cor. Rainbow, 
and Katipunan Road, Concepcion Dos, Marikina, 
1008 Metro Manila",Marikina City,5,5,5,0917 658 4236,Toothiedental0530@gmail.com,"*General Dentistry
*Orthodontics",,Mon-Sat: 10am-6pm,"
","Our family Dentist is very professional..
Staff is very accommodating..
highly recommended."
Odontocare Dental Clinic,"14.639941021248587, 121.12243841131249",14.63994102,121.1224384,"87 Lilac St, 88 Lilac Building, Marikina, 1811",Marikina City,,4.8,4.8,9267485488,,,,Mon-Sun: 10am-7pm,,"Highly recommended both Doctors sa clinic na to ay magaan ang kamay. Si Doc Nika nghahandle
 ng braces ko while si Doc Ram naman ng bunot ng wisdom tooth ko. Maingat sila sa pag hahandle 
ng patient.


Highly recommended ⭐️⭐️⭐️⭐️⭐️
Yey! Finally hindi na mahihiyang mag smile 😭
Thank you Odontocare Dental Clinic Marikina ❤️
Super happy ako sa teeth ko ngayon haha grabe ba naman ang dami kong request pero lahat naman
 talaga nagawa 😍 Worth it pag hihintay koooo ❤️
Sa mga nag babalak jan mag paayos ng teeth, bunot, pasta or kung ano pa man yan basta about
 dental mag pa appointment lang kayo dito.
mabait and maalaga sila doc sa patients nila and accommodating din mga staffs 💕


Highly recommended. The staff’s of the Odontocare Dental Clinic are so accommodating, the clinic
 itself is clean and well ventilated. They have a waiting area with free wifi for the clients and their 
accompaniments. They offer an affordable and great service. Big thanks also to my dentist, 
Dra. Nika who is very patient with me and they cater to your dental needs in your suited schedule. 
Overall, Odontocare Clinic provides a quality service and you will really feel that you are well taken care of.


When choosing a dental clinic, you want a place na mapapanatag ka kasi very approachable and 
magaan yung kamay ng dentist, plus factor na if malapit sa house mo. And I’m just so lucky when I discover about Odontocare Dental Clinic Marikina! 
Malapit sa bahay, plus Doc Nika was very hands on! Lahat iniexplain, di ka maghehesitate magtanong kasi super approachable ni Doc Nika. Very gentle kaya yang fear of dentist mo, for sure mawawala sa dental clinic na’to!
Did I mention affordable lang din lahat ng services nila? They have panoramic xray, laser teeth whitening and more. Nasa isang dental clinic na lahat ng kailangan mo. 
So show off that smile, visit na rin kayo!"
CALIMLIM DENTAL CLINIC,"14.652402712863992, 121.10471531246905",14.65240271,121.1047153,"RaE bldg 2nd flr UNIT-C #15 Bayan-bayanan ave
 Concepcion Uno(beside Goldilocks and
 BPI infront of national bookstore),
 Marikina City, Philippines",Marikina City,5,5,5,9055266058,doc_eva1971@yahoo.com,,,Mon-Sat: 9am-5pm,"Superb treatment. The best dentist I have found in Manila.  Highly recommended.


Tooth extraction done by Dr. Jeric Calimlim. I felt no pain during the procedure,
 he was light handed. Recommended 😊 …


Doc's light hand. I pulled out 3 teeth at the same time and stitched him up after the 
extraction and the result was great 😘 super recommended …


Magaling po talaga at magaan ang kamay wala akong naramdamang sakit kala ko 
dipa tapos ang bilis pa tapos na pala mapapa smile ka talaga 😁😁😁😁 …


Dr. Jeric Calimlim is very nice and gentle. Best dental experience around marikina.","Highly recommended po❤️ mababait at maalaga ang mga staff and Dra. Eva💕 thank you po and God bless💕🙏


Highly recommended. Best couple dentist💕 nag Move na kmi sa Laguna pero dito pa Din kami sa knila... 
Super nice and polite ng mga staff.


Thanks doc eva nawala ang phobia ko sa mga dentist dhl sau. sobrang thumbs up 🖒🖒🤗 i will be back again
 surely.💕


Good Service,,and  thank you for tooth filling and Dental Cleaning... 
Big Thumbs Up.... 
God Bless...."
Paz Dental Center,"14.639863416850226, 121.09398647743608",14.63986342,121.0939865,"398 JP Rizal Street Sto. Niño Marikina city,
 Marikina City, Philippines",Marikina City,4.5,5,4.75,9165417023,pazdentalcenter@gmail.com,#NAME?,,Mon-Sun: 9am-5pm,"Dr. Angelo Paz is the best dentist I've ever been to. After undergoing a root canal at his
 clinic last year, I knew I could trust him with any dental procedure, which is why I returned
 for wisdom tooth removal -- which also turned out great and painless!

He is excellent at what he does and also takes the time to explain each step of the procedure.
 The staff is also very accomodating and responsive through their Facebook page.

Their office is clean and scheduling for an appointment is very easy! Highly recommended!


So satisfied with the cosmetic work done at Paz Dental Center! The results are outstanding.
 The attention to detail and skill of their cosmetic team is top-notch. My smile has been 
transformed, and I couldn't be happier. Highly recommend their cosmetic services! 
Thankyou Paz Dental Center for bringing back my smile 😁😁


Staffs are accomodating. The clinic is clean and cozy, the only problem is that they are 
not careful. I only went for a usual cleaning. As soon as I got home, I noticed the fillings
 in my front teeth got destroyed. I complained right away, seen my message, promised 
to get back on me but to no avail. They didn't even apologize for it. So I'm not gonna 
come back here. Not recommending this to anyone.





","Super bilis mag reply sa chat. super bait ng dentist and staff. wisdom tooth extraction pero hindi man 
lang ako nasaktan at nawala yung kaba ko kasi napakabait ni dr. highly recommended.


Had a great experience in their dental clinic. Dentist and staffs are very accommodating, friendly, polite
 and very professional. I will recommend their dental clinic to my friends and colleagues. They are also 
hmo accredited which is really good. Thumbs up for their great service. 


SOBRANG RECOMMENDED! 💯
Friendly and accommodating lahat ng staff from the receptionist hanggang sa dentist.
Napakagaan pa ng kamay ng dentista, 2 wisdom teeth tinanggal sakin pero wala akong naramdamang pain.
 Very smooth yung process, at mabilis. Tatanungin ka from time to time kung may masakit, or kung okay ka
 lang, kung gusto mo magrest, etc.
Sobrang 👌🏻 pa yung hindi sila nag-ooverprice at hindi bawat kilos mo may bayad.
They’ll be my 4th, and probably the last clinic na pupuntahan ko.


10/10 ⭐⭐⭐⭐⭐
Highly recommended. Super accommodating and approachable ng staffs. The dentist is kind and cheerful.
  Nakakatuwa yung sasabihan kang ""Very good"" ni Doc from time to time to make sure that everything
 is going well. The best Dental Center for me so far 🙂"
Smile-Avenue Dental Clinic,"14.64098642347233, 121.1269558738296",14.64098642,121.1269559,"4845 Panorama Street corner Waco Street,
 Marikina City, Philippines",Marikina City,2.7,,2.7,9457208582,,,,Mon-Sat: 9am-6pm,"I've been coming by this clinic for days now. Waiting from 8am to 10am and it shows in the
 front of the store that they should already be operational. Is this store still open? Hope not


When HMo is used, the service is not good..you can feel it from the cleaning done..
as for the pasta, the reason is that the materials they use are class A, then HMo only 
charges a little...I hope they don't accept or agree to be accredited. they are from HMo..
I verified with my HMo, they covered the permanent or temporary pasta...the dentist here 
looks like money...


Very bad service. The dentist is unprofessional",
ASDGC Dental Center,"14.665181395818866, 121.12544504314931",14.6651814,121.125445,"A and O Building, Champaca St, Marikina,
 Metro Manila",Marikina City,1,5,3,9176369202,asdgcdentalcenter@gmail.com,#NAME?,,Mon-Sat: 9am-5pm,,"Dental Clinic’s really clean and well maintained (Health protocols strictly followed). 
Dentist is really nice and friendly. Would definitely recommend this place to my friends and family
 around Marikina. ❤️ will be coming back again soon. Thanks ASDGC team 👌🏻


Had a great and smooth experience here. Dr. Custodio is very friendly, respectful, and had a genuine
 care to her patients. Definitely recommended ♥️


Highly recommended. 
Magaan po ung kamay ni Dra. Hindi mo mamamalayan na tapos na pala ung pag aayos niya  sa  ngipin mo
 and super satisfied po ako sa pag kagawa niya sa ngipin ko. Mabait pa and super accommodating. 
Ung clinic nila nasunod din sa health protocol ng government. So 5 star for this clinic. ⭐⭐⭐⭐⭐


Great service! New facilities and equipment that are well-maintained! The dentist is very approachable 
and responsive.


Dentist are nice and freindly and they are good and calming patients!! God services and reasonable . 
Thank you ASDGC dental clinic .😘😘😘😘"
East Dental Clinic Marikina,"14.644771810094838, 121.12194272723089",14.64477181,121.1219427,"MRAL Building Lilac, corner Kanlaon, Marikina,
 1811 Metro Manila",Marikina City,5,5,5,9602806250,,,,Mon-Sun: 9am-5pm,"Very accommodating staff and has the coolest dentist!


Very friendly and accomodating.","Ang galing sobrang bilis lang natapos maextract ng tooth ko ang gaan ng kamay ni Doc Mako, 
The staffs is very accommodating too. Trusting EDC for my oral needs.💙


My family and I recently visited this dental clinic and was thoroughly impressed. The staff responded
 immediately to my inquiries, making me feel valued and prioritized. They were incredibly approachable,
 which eased any nervousness we had. The services offered were surprisingly affordable, which was a 
huge relief. What stood out the most was how they took the time to explain each procedure, ensuring I was 
comfortable and informed throughout. Plus, the staff were genuinely friendly, creating a welcoming atmosphere.
 Overall, I highly recommend this clinic for anyone seeking quality dental care with exceptional service.


10/10 wouldn’t hesitate to recommend One of the best dental experience. Couldn’t have asked for a better
 experience and Thank you for helping me get through my appointment with ease!! and also Dr. Mako as well 
as the entire staff here are friendly, professional, and caring. I highly recommend this clinic!!


I highly recommend this clinic, Thankyou very much East dental clinic ang ganda po ng pagka- pasta ng ipin ko :))
Very accommodating staff at mabait si doc ❤️❤️"
Fairdent Dental Clinic,"14.644244556557863, 121.12185797382962",14.64424456,121.121858,"41, 1811 Lilac St, Marikina, Metro Manila",Marikina City,,4.6,4.6,9495094292,,"-Oral Prophylaxis
-Tooth Restoration
-Tooth  Extraction
-Dentures
-Dental Braces Jacket
Crown Fixed Bridge
-Veneers
-Teeth  Whitening
-Root Canal Treatment
-Retainers,
-Odontectomy",,"Mon-Sun: 9am-5pm
Tue:CLOSED",,"Napalinis ng clinic 😍😍 and sobrang bait ng assistant and si dr. Sharmhaine sobrang gaan ng kamay.
 🤗🤗 Thank you 😊


Thanks kay Dra. Sharmhaine na napaka gaan ng kamay na sa sobrang gaan halos maka idlip na ako
 at iniimagine ko tuloy para syang marshmallows. hehehe at syempre aa assistant nya na napaka
 accommodating din. Also, the place is very peaceful  kaya Kudos po sa inyo.


Super gaan ng kamay ni Doc, even fell asleep while kinakabitan ng breyshes hahaha. ⭐️⭐️⭐️⭐️⭐️ 
thanks po Doc for the gentleness and pretty braces 🥰 will definitely recommend! ✨


Ang peaceful ng ambiance sa clinic ni Doc Sharm. Super bait ni doc and magaan kamay. Lahat ieexplain
 niya sayo in details. Very accommodating rin ng assistant niya hihi. Highly recommended! 🥰💜


Staff is very unaccomodating and borderline rude. Wont even let you finish your sentence when you are
 supposed to tell them your dental concern. I was excited pa naman to go to this clinic but it turned out 
disappointing. "
Hello Dentist Dental Clinic,"14.650536459178548, 121.09982290784278",14.65053646,121.0998229,"TDMR Building, 618 J. P. Rizal St, Marikina",Marikina City,5,5,5,9989012629,hellodentistdental@gmail.com,"✅Metal Braces
✅Ceramic Braces
✅Dental Cleaning (Linis)
✅Tooth Restoration (Pasta)
✅Tooth Extraction (Bunot)
✅Dentures (Pustiso)
✅Fixed Bridge 
✅Jacket Crown
✅Odontectomy (Removal of Impacted Tooth)
✅Veneers
✅Retainers 
✅Denture Repair",,Tue-Sun: 10am-7pm,"Overall great experience and treatment from Doc Alex. He well explained the health of my
 teeth and the treatments to be done.

I was treated on Oct 1 and had cleaning, which was long overdue, and fillings to damaged
 teeth. Magaan ang kamay niya, I felt comfortable during the treatment.

A week after he also texted if there is still pangingilo and up until now wala pa.

Im very pleased to stumble upon this clinic and Doc Alex.


","Highly recommended 👍and very approachable si Doc and na appreciate ko din concern niya with my case. 💪


Thanks much Doc!
Very friendly, approachable and professional.
❤
So excited for the result of orthodontic treatment. 
Highly recommended. 


Doc really did a great job handling our teeth concerns. Sobrang approachable ni Doc and he ensured that
 all of my questions for proper oral care were addressed.


I have been very satisfied with the service and accommodation of Hello Dentist. I would highly recommend
 them to anyone. 💙💙💙


I have been very satisfied with the service and accommodation of Hello Dentist. I would highly recommend
 them to anyone. 💙💙💙"
Clinica Bado Dental Clinic,"14.653442840869236, 121.10317030437308",14.65344284,121.1031703,"620 J.P. Rizal St. Concepcion 1, Marikina City, 
Philippines",Marikina City,,5,5,9179671701,rodulfadental@gmail.com,#NAME?,,Mon-Sat: 10am-5pm,,"-The Doctors are truly caring and careful. Hands soft and light as feather as they take care of your teeth.
 Highly recommended!


-Alagang alaga ng Clinica Bado. Mabilis ang service. Pleasant ang dentist. Approachable din ang dentist.


treatment of TMJ 
- my sinusitis ( allergic rhinitis )
- numbness of both arms
- back pain ( driving. for many hours)
all of this has been remove . thanks to the splints and fix bridges . 
 God bless Clinica Bado."
